ticker,n_headlines,mean_sent,pct_positive,pct_negative,pct_neutral
BA.L,5718,0.282,0.315,0.056,0.629
AZN.L,5761,0.23,0.35,0.122,0.527
GSK.L,4133,0.215,0.325,0.116,0.559
RR.L,7818,0.156,0.164,0.054,0.782
VOD.L,7525,0.148,0.206,0.096,0.698
ULVR.L,6668,0.089,0.174,0.125,0.701
BP.L,7670,0.075,0.176,0.141,0.683
RIO.L,4920,0.056,0.197,0.181,0.622
SHEL.L,7794,0.04,0.128,0.132,0.74
HSBA.L,7292,0.022,0.139,0.158,0.703
GLEN.L,2909,-0.02,0.157,0.219,0.625
TSCO.L,7812,-0.05,0.136,0.241,0.623
NWG.L,3790,-0.067,0.116,0.232,0.652
BARC.L,6679,-0.088,0.09,0.222,0.687
LLOY.L,2388,-0.114,0.119,0.274,0.607
