date,equal_weight,buy_and_hold,top_ew[price_only],top_mv[price_only],top_rp[price_only],top_ew[price+sentiment],top_mv[price+sentiment],top_rp[price+sentiment]
2020-12-30,0.9985,0.9985,0.9985,0.9985,0.9985,0.9985,0.9985,0.9985
2020-12-31,0.9872,0.9872,0.9916,0.9915,0.9918,0.9925,0.9864,0.9924
2021-01-04,0.9891,0.9891,0.9641,0.9548,0.9692,0.9553,0.9613,0.9612
2021-01-05,1.0042,1.0042,0.9778,0.9542,0.9805,0.9608,0.9636,0.9627
2021-01-06,1.0524,1.0524,1.0405,1.021,1.0464,1.0263,1.0361,1.0337
2021-01-07,1.0568,1.0568,1.0447,1.0213,1.0509,1.027,1.0365,1.0344
2021-01-08,1.0503,1.0503,1.0286,1.0089,1.037,1.01,1.0245,1.0195
2021-01-11,1.0408,1.0408,1.0111,0.9932,1.019,0.9956,1.0109,1.0054
2021-01-12,1.0428,1.0428,1.0284,1.0091,1.0362,1.0104,1.0277,1.0195
2021-01-13,1.0376,1.0376,1.0163,0.9948,1.0249,0.9925,1.0122,1.0012
2021-01-14,1.0496,1.0496,1.0277,0.9996,1.0368,1.0,1.0185,1.0089
2021-01-15,1.0383,1.0383,1.0108,0.98,1.019,0.9848,0.9993,0.9933
2021-01-18,1.0363,1.0363,1.0126,0.9921,1.0222,0.9891,1.0086,0.9989
2021-01-19,1.0342,1.0342,0.9996,0.9738,1.0078,0.9831,0.9991,0.9944
2021-01-20,1.0365,1.0365,1.0072,0.9691,1.0138,0.9833,0.9935,0.9916
2021-01-21,1.0251,1.0251,0.993,0.9612,1.002,0.9753,0.9873,0.9881
2021-01-22,1.0193,1.0193,0.9802,0.9485,0.988,0.964,0.9734,0.9756
2021-01-25,1.0049,1.0049,0.9442,0.9177,0.953,0.9325,0.9425,0.9461
2021-01-26,1.0075,1.0075,0.9457,0.9324,0.9559,0.9392,0.9561,0.9547
2021-01-27,0.9914,0.9914,0.9091,0.8991,0.9163,0.917,0.9298,0.9331
2021-01-28,0.9888,0.9889,0.926,0.9076,0.9334,0.9222,0.9335,0.9358
2021-01-29,0.968,0.9683,0.9031,0.8789,0.914,0.9071,0.9211,0.9202
2021-02-01,0.9753,0.9752,0.9127,0.8843,0.9236,0.9153,0.9347,0.9296
2021-02-02,0.9806,0.9797,0.9081,0.8723,0.9205,0.9164,0.9291,0.9312
2021-02-03,0.9815,0.9809,0.9147,0.8766,0.9318,0.9206,0.9347,0.9343
2021-02-04,0.9888,0.9873,0.9203,0.8811,0.9368,0.929,0.9438,0.9431
2021-02-05,0.9933,0.9916,0.9135,0.8748,0.9291,0.9454,0.9647,0.9565
2021-02-08,0.9994,0.9978,0.92,0.882,0.9355,0.9599,0.9859,0.9704
